MeanShift(1),MeanShift(1bis),MeanShift(2),MeanShift(2bis),MeanShift(3)
81,,,15,
136,,,20,
192,,,41,
240,,,90,
,,,97,
,,,99,
,,,120,
,,,150,
,,,160,
,,,173,
,,,239,
