2.243767313019390741e+01,4.092615769712140406e+01,5.910224438902743316e+01,5.260243632336655395e+01,3.043478260869565233e+01,2.112994350282485811e+01
2.243767313019390741e+01,4.092615769712140406e+01,5.910224438902743316e+01,5.260243632336655395e+01,3.043478260869565233e+01,2.112994350282485811e+01
3.019390581717451383e+01,5.256570713391739957e+01,3.715710723192020026e+01,3.477297895902547253e+01,6.521739130434782794e+01,1.536723163841807960e+01
2.243767313019390741e+01,4.092615769712140406e+01,5.910224438902743316e+01,5.260243632336655395e+01,3.043478260869565233e+01,2.112994350282485811e+01
3.019390581717451383e+01,5.256570713391739957e+01,3.715710723192020026e+01,3.477297895902547253e+01,6.521739130434782794e+01,1.536723163841807960e+01
4.736842105263158231e+01,6.508135168961201700e+00,3.740648379052369243e+00,1.262458471760797352e+01,4.347826086956521507e+00,6.350282485875705873e+01
KMEANS
2.243767313019390741e+01 4.105131414267835055e+01 5.910224438902743316e+01 5.260243632336655395e+01 3.043478260869565233e+01 2.112994350282485811e+01
2.243767313019390741e+01 4.105131414267835055e+01 5.910224438902743316e+01 5.260243632336655395e+01 3.043478260869565233e+01 2.112994350282485811e+01
4.736842105263158231e+01 6.508135168961201700e+00 3.740648379052369243e+00 1.262458471760797352e+01 4.347826086956521507e+00 6.327683615819208995e+01
2.243767313019390741e+01 4.105131414267835055e+01 5.910224438902743316e+01 5.260243632336655395e+01 3.043478260869565233e+01 2.112994350282485811e+01
4.736842105263158231e+01 6.508135168961201700e+00 3.740648379052369243e+00 1.262458471760797352e+01 4.347826086956521507e+00 6.327683615819208995e+01
3.019390581717451383e+01 5.244055068836045308e+01 3.715710723192020026e+01 3.477297895902547253e+01 6.521739130434782794e+01 1.559322033898305015e+01
KMEANS
classes occlusives fricatives nasales voyelles semi-consonnes silences
KMEANS
classes occlusives fricatives nasales voyelles semi-consonnes silences
0.000000000000000000e+00 4.736842105263158231e+01 6.508135168961201700e+00 3.740648379052369243e+00 1.262458471760797352e+01 4.347826086956521507e+00 6.350282485875705873e+01
0.000000000000000000e+00 4.736842105263158231e+01 6.508135168961201700e+00 3.740648379052369243e+00 1.262458471760797352e+01 4.347826086956521507e+00 6.350282485875705873e+01
1.000000000000000000e+00 2.243767313019390741e+01 4.092615769712140406e+01 5.910224438902743316e+01 5.260243632336655395e+01 3.043478260869565233e+01 2.112994350282485811e+01
0.000000000000000000e+00 4.736842105263158231e+01 6.508135168961201700e+00 3.740648379052369243e+00 1.262458471760797352e+01 4.347826086956521507e+00 6.350282485875705873e+01
1.000000000000000000e+00 2.243767313019390741e+01 4.092615769712140406e+01 5.910224438902743316e+01 5.260243632336655395e+01 3.043478260869565233e+01 2.112994350282485811e+01
2.000000000000000000e+00 3.019390581717451383e+01 5.256570713391739957e+01 3.715710723192020026e+01 3.477297895902547253e+01 6.521739130434782794e+01 1.536723163841807960e+01
KMEANS
classes occlusives fricatives nasales voyelles semi-consonnes silences
0.000000000000000000e+00 3.019000000000000128e+01 5.257000000000000028e+01 3.715999999999999659e+01 3.477000000000000313e+01 6.521999999999999886e+01 1.536999999999999922e+01
0.000000000000000000e+00 3.019000000000000128e+01 5.257000000000000028e+01 3.715999999999999659e+01 3.477000000000000313e+01 6.521999999999999886e+01 1.536999999999999922e+01
1.000000000000000000e+00 4.736999999999999744e+01 6.509999999999999787e+00 3.740000000000000213e+00 1.261999999999999922e+01 4.349999999999999645e+00 6.350000000000000000e+01
0.000000000000000000e+00 3.019000000000000128e+01 5.257000000000000028e+01 3.715999999999999659e+01 3.477000000000000313e+01 6.521999999999999886e+01 1.536999999999999922e+01
1.000000000000000000e+00 4.736999999999999744e+01 6.509999999999999787e+00 3.740000000000000213e+00 1.261999999999999922e+01 4.349999999999999645e+00 6.350000000000000000e+01
2.000000000000000000e+00 2.244000000000000128e+01 4.092999999999999972e+01 5.910000000000000142e+01 5.260000000000000142e+01 3.042999999999999972e+01 2.112999999999999901e+01
KMEANS
classes occlusives fricatives nasales voyelles semi-consonnes silences
0.000000000000000000e+00 2.244000000000000128e+01 4.054999999999999716e+01 5.910000000000000142e+01 5.260000000000000142e+01 3.042999999999999972e+01 2.112999999999999901e+01
0.000000000000000000e+00 2.244000000000000128e+01 4.054999999999999716e+01 5.910000000000000142e+01 5.260000000000000142e+01 3.042999999999999972e+01 2.112999999999999901e+01
1.000000000000000000e+00 4.736999999999999744e+01 6.509999999999999787e+00 3.740000000000000213e+00 1.274000000000000021e+01 4.349999999999999645e+00 6.350000000000000000e+01
0.000000000000000000e+00 2.244000000000000128e+01 4.054999999999999716e+01 5.910000000000000142e+01 5.260000000000000142e+01 3.042999999999999972e+01 2.112999999999999901e+01
1.000000000000000000e+00 4.736999999999999744e+01 6.509999999999999787e+00 3.740000000000000213e+00 1.274000000000000021e+01 4.349999999999999645e+00 6.350000000000000000e+01
2.000000000000000000e+00 3.019000000000000128e+01 5.293999999999999773e+01 3.715999999999999659e+01 3.465999999999999659e+01 6.521999999999999886e+01 1.536999999999999922e+01
KMEANS
classes occlusives fricatives nasales voyelles semi-consonnes silences
0.000000000000000000e+00 2.244000000000000128e+01 4.104999999999999716e+01 5.910000000000000142e+01 5.260000000000000142e+01 3.042999999999999972e+01 2.112999999999999901e+01
0.000000000000000000e+00 2.244000000000000128e+01 4.104999999999999716e+01 5.910000000000000142e+01 5.260000000000000142e+01 3.042999999999999972e+01 2.112999999999999901e+01
1.000000000000000000e+00 4.736999999999999744e+01 6.509999999999999787e+00 3.740000000000000213e+00 1.261999999999999922e+01 4.349999999999999645e+00 6.328000000000000114e+01
