FR-R,FR-V
9.785714285714286120e+01,9.928571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.642857142857143060e+01,8.571428571428570820e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.714285714285713880e+01,8.214285714285713880e+01
9.071428571428570820e+01,1.000000000000000000e+02
9.785714285714286120e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.714285714285713880e+01,9.928571428571429180e+01
9.785714285714286120e+01,7.357142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.928571428571429180e+01
9.642857142857143060e+01,9.928571428571429180e+01
9.928571428571429180e+01,1.000000000000000000e+02
9.928571428571429180e+01,9.357142857142856940e+01
8.642857142857143060e+01,9.642857142857143060e+01
9.928571428571429180e+01,1.000000000000000000e+02
8.857142857142856940e+01,9.214285714285713880e+01
9.928571428571429180e+01,1.000000000000000000e+02
9.928571428571429180e+01,8.000000000000000000e+01
9.428571428571429180e+01,9.571428571428570820e+01
9.857142857142856940e+01,9.642857142857143060e+01
9.285714285714286120e+01,9.857142857142856940e+01
9.214285714285713880e+01,1.000000000000000000e+02
9.500000000000000000e+01,9.857142857142856940e+01
9.642857142857143060e+01,9.928571428571429180e+01
9.785714285714286120e+01,9.928571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.928571428571429180e+01,1.000000000000000000e+02
8.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.785714285714286120e+01
9.785714285714286120e+01,9.857142857142856940e+01
9.214285714285713880e+01,9.857142857142856940e+01
9.500000000000000000e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.928571428571429180e+01
9.428571428571429180e+01,9.285714285714286120e+01
9.714285714285713880e+01,9.357142857142856940e+01
7.928571428571429180e+01,1.000000000000000000e+02
9.928571428571429180e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.928571428571429180e+01,8.357142857142856940e+01
9.428571428571429180e+01,7.857142857142856940e+01
9.928571428571429180e+01,9.214285714285713880e+01
9.571428571428570820e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.571428571428570820e+01
9.214285714285713880e+01,9.785714285714286120e+01
9.642857142857143060e+01,9.857142857142856940e+01
9.714285714285713880e+01,9.642857142857143060e+01
9.928571428571429180e+01,1.000000000000000000e+02
9.285714285714286120e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.571428571428570820e+01,9.428571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.642857142857143060e+01,9.928571428571429180e+01
9.714285714285713880e+01,8.357142857142856940e+01
1.000000000000000000e+02,9.000000000000000000e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.785714285714286120e+01,1.000000000000000000e+02
8.500000000000000000e+01,9.928571428571429180e+01
9.857142857142856940e+01,9.642857142857143060e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.928571428571429180e+01
9.857142857142856940e+01,9.785714285714286120e+01
9.714285714285713880e+01,8.500000000000000000e+01
9.071428571428570820e+01,9.714285714285713880e+01
9.642857142857143060e+01,8.785714285714286120e+01
9.785714285714286120e+01,9.928571428571429180e+01
9.785714285714286120e+01,1.000000000000000000e+02
9.928571428571429180e+01,9.928571428571429180e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.928571428571429180e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.500000000000000000e+01
9.857142857142856940e+01,9.928571428571429180e+01
9.857142857142856940e+01,9.785714285714286120e+01
9.928571428571429180e+01,9.571428571428570820e+01
9.500000000000000000e+01,9.000000000000000000e+01
9.428571428571429180e+01,9.785714285714286120e+01
9.571428571428570820e+01,9.928571428571429180e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.357142857142856940e+01,1.000000000000000000e+02
9.428571428571429180e+01,1.000000000000000000e+02
9.928571428571429180e+01,9.928571428571429180e+01
9.357142857142856940e+01,9.285714285714286120e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.785714285714286120e+01,9.928571428571429180e+01
9.285714285714286120e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.928571428571429180e+01
9.714285714285713880e+01,9.500000000000000000e+01
9.857142857142856940e+01,8.571428571428570820e+01
8.642857142857143060e+01,9.857142857142856940e+01
9.571428571428570820e+01,9.928571428571429180e+01
9.428571428571429180e+01,9.142857142857143060e+01
1.000000000000000000e+02,9.928571428571429180e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.285714285714286120e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.928571428571429180e+01
9.928571428571429180e+01,9.857142857142856940e+01
9.500000000000000000e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.928571428571429180e+01
9.928571428571429180e+01,8.428571428571429180e+01
8.928571428571429180e+01,9.500000000000000000e+01
9.642857142857143060e+01,9.142857142857143060e+01
9.571428571428570820e+01,1.000000000000000000e+02
8.500000000000000000e+01,9.857142857142856940e+01
9.571428571428570820e+01,9.642857142857143060e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.500000000000000000e+01,9.857142857142856940e+01
8.857142857142856940e+01,9.857142857142856940e+01
9.642857142857143060e+01,9.857142857142856940e+01
8.928571428571429180e+01,9.714285714285713880e+01
9.285714285714286120e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.642857142857143060e+01
9.785714285714286120e+01,9.785714285714286120e+01
9.928571428571429180e+01,9.642857142857143060e+01
9.857142857142856940e+01,9.000000000000000000e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.642857142857143060e+01,1.000000000000000000e+02
9.571428571428570820e+01,9.714285714285713880e+01
9.785714285714286120e+01,9.928571428571429180e+01
9.857142857142856940e+01,9.571428571428570820e+01
8.642857142857143060e+01,9.857142857142856940e+01
9.714285714285713880e+01,8.500000000000000000e+01
9.785714285714286120e+01,9.285714285714286120e+01
9.928571428571429180e+01,1.000000000000000000e+02
9.285714285714286120e+01,8.357142857142856940e+01
9.928571428571429180e+01,9.785714285714286120e+01
8.071428571428570820e+01,1.000000000000000000e+02
9.785714285714286120e+01,8.571428571428570820e+01
9.000000000000000000e+01,9.428571428571429180e+01
9.928571428571429180e+01,9.857142857142856940e+01
9.714285714285713880e+01,9.928571428571429180e+01
9.642857142857143060e+01,1.000000000000000000e+02
8.857142857142856940e+01,9.928571428571429180e+01
9.857142857142856940e+01,9.500000000000000000e+01
8.857142857142856940e+01,9.000000000000000000e+01
9.214285714285713880e+01,9.928571428571429180e+01
9.928571428571429180e+01,8.357142857142856940e+01
9.571428571428570820e+01,9.214285714285713880e+01
9.642857142857143060e+01,1.000000000000000000e+02
9.928571428571429180e+01,9.357142857142856940e+01
9.785714285714286120e+01,9.571428571428570820e+01
8.071428571428570820e+01,9.500000000000000000e+01
9.785714285714286120e+01,9.857142857142856940e+01
9.785714285714286120e+01,9.928571428571429180e+01
8.928571428571429180e+01,9.714285714285713880e+01
9.428571428571429180e+01,9.357142857142856940e+01
9.857142857142856940e+01,9.642857142857143060e+01
9.928571428571429180e+01,9.785714285714286120e+01
9.928571428571429180e+01,9.785714285714286120e+01
9.571428571428570820e+01,9.857142857142856940e+01
9.928571428571429180e+01,9.142857142857143060e+01
1.000000000000000000e+02,9.142857142857143060e+01
1.000000000000000000e+02,9.285714285714286120e+01
9.714285714285713880e+01,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.642857142857143060e+01,9.785714285714286120e+01
9.785714285714286120e+01,9.071428571428570820e+01
9.642857142857143060e+01,9.785714285714286120e+01
