FR,JA
9.785714285714286120e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
9.428571428571429180e+01,1.000000000000000000e+02
9.928571428571429180e+01,9.785714285714286120e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.000000000000000000e+01,8.500000000000000000e+01
9.500000000000000000e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.785714285714286120e+01,9.928571428571429180e+01
9.785714285714286120e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
3.571428571428571619e+00,5.000000000000000000e+00
9.928571428571429180e+01,1.000000000000000000e+02
9.642857142857143060e+01,1.000000000000000000e+02
8.714285714285713880e+01,9.357142857142856940e+01
9.928571428571429180e+01,1.000000000000000000e+02
8.857142857142856940e+01,1.000000000000000000e+02
9.928571428571429180e+01,9.857142857142856940e+01
9.642857142857143060e+01,9.785714285714286120e+01
9.428571428571429180e+01,1.000000000000000000e+02
9.785714285714286120e+01,1.000000000000000000e+02
9.428571428571429180e+01,8.928571428571429180e+01
9.214285714285713880e+01,7.857142857142856940e+01
9.500000000000000000e+01,9.928571428571429180e+01
9.500000000000000000e+01,9.928571428571429180e+01
9.785714285714286120e+01,9.785714285714286120e+01
9.214285714285713880e+01,9.785714285714286120e+01
0.000000000000000000e+00,5.000000000000000000e+00
8.785714285714286120e+01,9.571428571428570820e+01
1.000000000000000000e+02,1.000000000000000000e+02
9.785714285714286120e+01,1.000000000000000000e+02
9.214285714285713880e+01,9.928571428571429180e+01
9.500000000000000000e+01,9.285714285714286120e+01
1.000000000000000000e+02,9.785714285714286120e+01
7.142857142857143016e-01,4.428571428571428470e+01
9.571428571428570820e+01,1.000000000000000000e+02
7.928571428571429180e+01,7.071428571428570820e+01
9.928571428571429180e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.428571428571429180e+01
9.928571428571429180e+01,1.000000000000000000e+02
9.357142857142856940e+01,1.000000000000000000e+02
9.928571428571429180e+01,1.000000000000000000e+02
9.857142857142856940e+01,8.357142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
