FR,JA
8.071428571428570820e+01,2.714285714285714235e+01
1.000000000000000000e+02,8.785714285714286120e+01
9.928571428571429180e+01,1.000000000000000000e+02
9.785714285714286120e+01,9.928571428571429180e+01
